  ** New best model saved! PER: 0.3869
Epoch 3/30 | Batch 0/4036 | Loss: 0.7301 | LR: 1.00e-04
Epoch 3/30 | Batch 40/4036 | Loss: 0.7287 | LR: 1.00e-04
Epoch 3/30 | Batch 80/4036 | Loss: 0.7189 | LR: 1.00e-04
Epoch 3/30 | Batch 120/4036 | Loss: 0.7194 | LR: 1.00e-04
Epoch 3/30 | Batch 160/4036 | Loss: 0.7544 | LR: 1.00e-04
Epoch 3/30 | Batch 200/4036 | Loss: 0.7246 | LR: 1.00e-04
Epoch 3/30 | Batch 240/4036 | Loss: 0.7300 | LR: 1.00e-04
Epoch 3/30 | Batch 280/4036 | Loss: 0.7341 | LR: 1.00e-04
Epoch 3/30 | Batch 320/4036 | Loss: 0.7509 | LR: 1.00e-04
Epoch 3/30 | Batch 360/4036 | Loss: 0.7217 | LR: 1.00e-04
Epoch 3/30 | Batch 400/4036 | Loss: 0.7246 | LR: 1.00e-04
Epoch 3/30 | Batch 440/4036 | Loss: 0.7028 | LR: 1.00e-04
Epoch 3/30 | Batch 480/4036 | Loss: 0.7252 | LR: 1.00e-04
Epoch 3/30 | Batch 520/4036 | Loss: 0.7129 | LR: 1.00e-04
Epoch 3/30 | Batch 560/4036 | Loss: 0.7157 | LR: 1.00e-04
Epoch 3/30 | Batch 600/4036 | Loss: 0.7184 | LR: 1.00e-04
Epoch 3/30 | Batch 640/4036 | Loss: 0.7284 | LR: 1.00e-04
Epoch 3/30 | Batch 680/4036 | Loss: 0.7306 | LR: 1.00e-04
Epoch 3/30 | Batch 720/4036 | Loss: 0.7216 | LR: 1.00e-04
Epoch 3/30 | Batch 760/4036 | Loss: 0.7508 | LR: 1.00e-04
Epoch 3/30 | Batch 800/4036 | Loss: 0.7702 | LR: 1.00e-04
Epoch 3/30 | Batch 840/4036 | Loss: 0.7483 | LR: 1.00e-04
Epoch 3/30 | Batch 880/4036 | Loss: 0.7230 | LR: 1.00e-04
Epoch 3/30 | Batch 920/4036 | Loss: 0.7478 | LR: 1.00e-04
Epoch 3/30 | Batch 960/4036 | Loss: 0.7544 | LR: 1.00e-04
Epoch 3/30 | Batch 1000/4036 | Loss: 0.7459 | LR: 1.00e-04
Epoch 3/30 | Batch 1040/4036 | Loss: 0.6972 | LR: 1.00e-04
Epoch 3/30 | Batch 1080/4036 | Loss: 0.7366 | LR: 1.00e-04
Epoch 3/30 | Batch 1120/4036 | Loss: 0.7186 | LR: 1.00e-04
Epoch 3/30 | Batch 1160/4036 | Loss: 0.7216 | LR: 1.00e-04
Epoch 3/30 | Batch 1200/4036 | Loss: 0.7463 | LR: 1.00e-04
Epoch 3/30 | Batch 1240/4036 | Loss: 0.7357 | LR: 1.00e-04
Epoch 3/30 | Batch 1280/4036 | Loss: 0.7551 | LR: 1.00e-04
Epoch 3/30 | Batch 1320/4036 | Loss: 0.7220 | LR: 1.00e-04
Epoch 3/30 | Batch 1360/4036 | Loss: 0.7113 | LR: 1.00e-04
Epoch 3/30 | Batch 1400/4036 | Loss: 0.7628 | LR: 1.00e-04
Epoch 3/30 | Batch 1440/4036 | Loss: 0.7102 | LR: 1.00e-04
Epoch 3/30 | Batch 1480/4036 | Loss: 0.7143 | LR: 1.00e-04
Epoch 3/30 | Batch 1520/4036 | Loss: 0.7098 | LR: 1.00e-04
Epoch 3/30 | Batch 1560/4036 | Loss: 0.7385 | LR: 1.00e-04
Epoch 3/30 | Batch 1600/4036 | Loss: 0.7206 | LR: 1.00e-04
Epoch 3/30 | Batch 1640/4036 | Loss: 0.7653 | LR: 9.99e-05
Epoch 3/30 | Batch 1680/4036 | Loss: 0.7071 | LR: 9.99e-05
Epoch 3/30 | Batch 1720/4036 | Loss: 0.7131 | LR: 9.99e-05
Epoch 3/30 | Batch 1760/4036 | Loss: 0.7516 | LR: 9.99e-05
Epoch 3/30 | Batch 1800/4036 | Loss: 0.7500 | LR: 9.99e-05
Epoch 3/30 | Batch 1840/4036 | Loss: 0.7199 | LR: 9.99e-05
Epoch 3/30 | Batch 1880/4036 | Loss: 0.7121 | LR: 9.99e-05
Epoch 3/30 | Batch 1920/4036 | Loss: 0.7403 | LR: 9.99e-05
Epoch 3/30 | Batch 1960/4036 | Loss: 0.7225 | LR: 9.99e-05
Epoch 3/30 | Batch 2000/4036 | Loss: 0.7254 | LR: 9.99e-05
Epoch 3/30 | Batch 2040/4036 | Loss: 0.7213 | LR: 9.99e-05
Epoch 3/30 | Batch 2080/4036 | Loss: 0.7436 | LR: 9.99e-05
Epoch 3/30 | Batch 2120/4036 | Loss: 0.7338 | LR: 9.99e-05
Epoch 3/30 | Batch 2160/4036 | Loss: 0.7315 | LR: 9.99e-05
Epoch 3/30 | Batch 2200/4036 | Loss: 0.7533 | LR: 9.99e-05
Epoch 3/30 | Batch 2240/4036 | Loss: 0.7313 | LR: 9.99e-05
